Timestamp,Index,Overton_ID,URL,Status,Content_Type,File_Saved,Message
2025-11-21 11:11:08,1,congressionalresearch-5d29df2438d105199d7fe9b10a2758c4,https://crsreports.congress.gov/product/pdf/download/R/R42122/R42122.pdf/,FAILED,N/A,N/A,403 Client Error: Forbidden for url: https://crsreports.congress.gov/product/pdf/download/R/R42122/R42122.pdf/
2025-11-21 11:11:09,2,nrdc-0267140e8c501bb19de2fe51bc358aaa,https://www.nrdc.org/resources/cultivating-clean-energy-promise-algae-biofuels,FAILED,N/A,N/A,403 Client Error: Forbidden for url: https://www.nrdc.org/resources/cultivating-clean-energy-promise-algae-biofuels
2025-11-21 11:11:10,3,ukparliament-9977cda792a530bbf0b60b31ca809bc7,https://post.parliament.uk/research-briefings/post-pn-384/,FAILED,N/A,N/A,403 Client Error: Forbidden for url: https://post.parliament.uk/research-briefings/post-pn-384/
2025-11-21 11:11:11,4,stateofohio-ea371c8be26aca895c3558a38c974a43,https://dam.assets.ohio.gov/image/upload/h2.ohio.gov/TAP/H2Ohio-Technology-Assessment-Final-Report-Algae-Short-Report-Jan-2023.pdf,SKIPPED,N/A,stateofohio-ea371c8be26aca895c3558a38c974a43.pdf,Already downloaded
2025-11-21 11:11:13,5,fao-a1c7ee4e8dd711623468b4ea08b3e363,https://openknowledge.fao.org/handle/20.500.14283/i1704e,SUCCESS,text/html; charset=utf-8,fao-a1c7ee4e8dd711623468b4ea08b3e363.html,Success
2025-11-21 11:11:14,6,nrdc-0267140e8c501bb19de2fe51bc358aaa,https://www.nrdc.org/resources/cultivating-clean-energy-promise-algae-biofuels,FAILED,N/A,N/A,403 Client Error: Forbidden for url: https://www.nrdc.org/resources/cultivating-clean-energy-promise-algae-biofuels
2025-11-21 11:11:18,7,friendsoftheearthus-c4e75ff294137a3b6987f7d61a54be5b,https://foe.org/resources/synbio-algae-report/,SUCCESS,text/html; charset=utf-8,friendsoftheearthus-c4e75ff294137a3b6987f7d61a54be5b.html,Success
2025-11-21 11:11:19,8,fao-a1c7ee4e8dd711623468b4ea08b3e363,https://openknowledge.fao.org/handle/20.500.14283/i1704e,SKIPPED,N/A,fao-a1c7ee4e8dd711623468b4ea08b3e363.html,Already downloaded
2025-11-21 11:11:21,9,irena-1f777caaed503ed523cb9af61d291624,https://www.irena.org/publications/2016/Apr/Boosting-Biofuels-Sustainable-Paths-to-Greater-Energy-Security,SUCCESS,text/html; charset=utf-8,irena-1f777caaed503ed523cb9af61d291624.html,Success
2025-11-21 11:11:23,10,nrelosti-381d50e9356804b07cd7150412aafa27,https://www.osti.gov/biblio/1821631,SUCCESS,text/html;charset=utf-8,nrelosti-381d50e9356804b07cd7150412aafa27.html,Success
